City,Name,Cuisine,Neighborhood,OpenTable_URL
Nashville,Yolan,Italian,Downtown / Sobro,https://www.opentable.com/r/yolan-nashville
Nashville,Bad Idea,Wine Bar,East Nashville,https://www.opentable.com/r/bad-idea-wine-bar-nashville
Nashville,Bastion,Contemporary American,South Nashville,https://www.opentable.com/r/bastion-nashville
Nashville,Henrietta Red,American,Germantown,https://www.opentable.com/r/henrietta-red-nashville-3
Nashville,International Market - Nashville,Thai,Belmont / Hillsboro,
New Jersey,Hawksmoor NYC,American,Gramercy Park,
New Jersey,Felina Steak- Jersey City,Italian,Jersey City,https://www.opentable.com/r/little-owl-west-village
New Jersey,SAPPE,Thai,Greenwich Village,
New Jersey,Gjelina - New York,Mediterranean,East Village,
New Jersey,Sailor,Bistro,Fort Greene,https://www.opentable.com/r/sailor-brooklyn
New Jersey,Strange Delight,Oyster Bar,Fort Greene,https://www.opentable.com/r/strange-delight-brooklyn
New Jersey,Estela,Contemporary American,NoHo,https://www.opentable.com/r/estela
New Jersey,Momofuku Noodle Bar - East Village,Asian,East Village,https://www.opentable.com/r/momofuku-noodle-bar-east-village-new-york-2
New Jersey,Altro Paradiso,Italian,SoHo,https://www.opentable.com/r/altro-paradiso
New Jersey,Meximodo - Jersey City,Mexican,Jersey City,https://www.opentable.com/r/little-owl-west-village
New Jersey,Casa Mono,Spanish,Union Square,https://www.opentable.com/r/casa-mono-new-york
New Jersey,Scarr's Pizza,Pizzeria,Chinatown,https://www.opentable.com/r/scarrs-pizza-new-york
New Jersey,Phoenix Palace,Chinese,Chinatown,https://www.opentable.com/r/phoenix-palace-new-york
New Jersey,Momofuku Noodle Bar - Uptown,Asian,Midtown,https://www.opentable.com/r/momofuku-noodle-bar-new-york
New Jersey,Sunn's,Korean,Chinatown,https://www.opentable.com/r/sunns-new-york
New Jersey,Una Pizza Napoletana,Italian,Lower East Side,https://www.opentable.com/r/una-pizza-napoletana-new-york
New Jersey,Kabawa,Caribbean,East Village,https://www.opentable.com/r/kabawa-new-york
New Jersey,Potluck Club,Chinese,Chinatown,https://www.opentable.com/r/potluck-club-new-york
New Jersey,l'abeille,French,TriBeCa,https://www.opentable.com/r/labeille-new-york
New Jersey,Roscioli - The Roman Feast,Italian,Greenwich Village,
New Jersey,Muku,Japanese,TriBeCa,https://www.opentable.com/r/muku-new-york
New Jersey,Maddy Rose at Liberty House,Contemporary American,Jersey City,https://www.opentable.com/r/maddy-rose-at-liberty-house-jersey-city
New Jersey,Razza - Jersey City,Pizzeria,Jersey City,https://www.opentable.com/r/little-owl-west-village
New Jersey,Parcelle Chinatown,Bar / Lounge / Bottle Service,Chinatown,
New Jersey,Fairfax,American,Greenwich Village,https://www.opentable.com/r/fairfax-new-york
New Jersey,Red Hook Tavern,American,Red Hook,https://www.opentable.com/r/red-hook-tavern-brooklyn
New Jersey,Tolo,Chinese,Lower East Side,https://www.opentable.com/r/tolo-new-york
New Jersey,Manhatta,American,Financial District,https://www.opentable.com/r/manhatta-new-york
New Jersey,Demo,European,West Village,https://www.opentable.com/r/demo-new-york
New Jersey,ASKA,Nordic,Williamsburg,https://www.opentable.com/r/aska-brooklyn
New Mexico,Farm & Table,Farm-to-table,Albuquerque,https://www.opentable.com/r/farm-and-table
New Orleans,Brennan's,Creole,French Quarter,https://www.opentable.com/r/red-fish-grill-new-orleans
New Orleans,GW Fins,Seafood,French Quarter,https://www.opentable.com/r/rosies-on-the-roof-new-orleans
New Orleans,La Petite Grocery,French,Garden District,https://www.opentable.com/r/la-petite-grocery-new-orleans
New Orleans,Jewel of the South,Contemporary British,French Quarter,https://www.opentable.com/r/jewel-of-the-south-new-orleans
New Orleans,Muriel's Jackson Square,Creole / Cajun / Southern,French Quarter,https://www.opentable.com/r/muriels-jackson-square-new-orleans-2
New Orleans,Restaurant August,Contemporary French / American,Central Business District,https://www.opentable.com/r/restaurant-august-new-orleans
New Orleans,Tableau,Creole / Cajun / Southern,French Quarter,https://www.opentable.com/r/tableau-new-orleans
New Orleans,Shaya,Middle Eastern,Uptown,https://www.opentable.com/r/shaya-new-orleans
New Orleans,San Lorenzo at Hotel Saint Vincent,Contemporary Italian,Garden District,https://www.opentable.com/r/hotel-saint-vincent-new-orleans
New Orleans,The Bower,American,Lower Garden District,https://www.opentable.com/r/the-bower-new-orleans
Oklahoma City,MAHT,Steakhouse,Oklahoma City,https://www.opentable.com/r/maht-oklahoma-city
Oklahoma City,Perle Mesta,American,Oklahoma City,https://www.opentable.com/r/perle-mesta-oklahoma-city
Oklahoma City,Osteria,Italian,Oklahoma City,https://www.opentable.com/r/osteria-oklahoma-city
Oklahoma City,Grey Sweater,Global International,Bricktown,https://www.opentable.com/r/grey-sweater-oklahoma-city
Oklahoma City,nonesuch,American,Midtown,https://www.opentable.com/r/nonesuch-oklahoma-city-2
Oklahoma City,Birdies by Chef Kevin Lee,Contemporary Korean,Memorial Square,https://www.opentable.com/r/birdies-by-chef-kevin-lee-edmond
Orlando,The Pinery,Southern,Downtown Orlando,https://www.opentable.com/r/the-pinery-orlando
Orlando,Norman's - Orlando,Steakhouse,I Drive / Sand Lake,
Orlando,Primo,Italian,I Drive / Sand Lake,https://www.opentable.com/r/whisper-creek-farm-the-kitchen-jw-marriot-grande-lakes-orlando
Orlando,Knife & Spoon,Steak,I Drive / Sand Lake,https://www.opentable.com/r/knife-and-spoon-orlando
Orlando,Charley's Steak House-Celebration FL,Steakhouse,Celebration,https://www.opentable.com/r/little-owl-west-village
Philadelphia,SkyHigh,Cocktail Bar,Center City,https://www.opentable.com/r/skyhigh-philadelphia
Philadelphia,Vernick Fish,Cocktail Bar,Center City,https://www.opentable.com/r/vernick-fish-philadelphia
Philadelphia,Friday Saturday Sunday,American,Center City,https://www.opentable.com/r/friday-saturday-sunday-philadelphia
Philadelphia,My Loup,French,Center City,https://www.opentable.com/r/my-loup-philadelphia
Philadelphia,Pine Street Grill,American,Center City,https://www.opentable.com/r/pine-street-grill-philadelphia
Philadelphia,a.kitchen,French American,Center City,https://www.opentable.com/r/akitchen-philadelphia
Philadelphia,Her Place Supper Club,American,Center City,https://www.opentable.com/r/her-place-supper-club-philadelphia
Philadelphia,Mawn,Cambodian,Bella Vista,https://www.opentable.com/r/mawn-philadelphia
Philadelphia,Honeysuckle,American,North Broad,https://www.opentable.com/r/honeysuckle-philadelphia
Philadelphia,Vetri Cucina - Philadelphia,Italian,Center City,
Philadelphia,High Street Restaurant & Bar,American,Center City,https://www.opentable.com/r/high-street-restaurant-and-bar-philadelphia
Philadelphia,Almanac,Cocktail Bar,Old City,https://www.opentable.com/r/almanac-philadelphia
Philadelphia,Tabachoy,Filipino,South Philly,https://www.opentable.com/r/tabachoy-philadelphia
